movie_id,title,year,runtime_min,genres,rating_imdb,votes,revenue_musd,director,cast_top3,country,language,production_company,metascore
1,Movie 1,2020,94,Romance,5.3,73658,590.5,Director 280,"Actor 90, Actor 605, Actor 433",USA,English,Studio 12,57
2,Movie 2,1994,144,"Action, Animation, Thriller",7.9,,438.2,Director 113,"Actor 460, Actor 604, Actor 285",USA,Italian,Studio 21,84
3,Movie 3,2001,115,Thriller,9.3,176972,86.3,Director 195,"Actor 100, Actor 368, Actor 353",Australia,French,Studio 6,88
4,Movie 4,2014,95,"Comedy, Animation",5.6,330088,496.7,Director 186,"Actor 592, Actor 197, Actor 722",UK,English,Studio 85,59
5,Movie 5,1998,90,Comedy,6.1,238217,510.4,Director 187,"Actor 167, Actor 380, Actor 364",France,Japanese,Studio 35,39
6,Movie 6,2018,161,Animation,8.0,86169,372.5,Director 139,"Actor 656, Actor 705, Actor 571",France,Japanese,Studio 42,37
7,Movie 7,1994,84,"Horror, Romance",4.4,479246,754.6,Director 162,"Actor 218, Actor 672, Actor 512",Japan,Japanese,Studio 59,48
8,Movie 8,1996,97,Animation,7.0,392150,469.7,Director 299,"Actor 409, Actor 371, Actor 225",Canada,Hindi,Studio 64,41
9,Movie 9,1983,94,Drama,8.4,221833,479.1,Director 198,"Actor 391, Actor 611, Actor 480",Italy,French,Studio 71,31
10,Movie 10,2023,172,Animation,8.1,403467,514.6,Director 58,"Actor 301, Actor 446, Actor 162",Spain,English,Studio 93,63
11,Movie 11,2012,177,Animation,9.0,456902,502.1,Director 260,"Actor 624, Actor 204, Actor 157",India,Italian,Studio 21,30
12,Movie 12,2018,121,"Action, Comedy",9.1,461203,788.3,Director 158,"Actor 246, Actor 60, Actor 247",Australia,English,Studio 11,92
13,Movie 13,1984,177,"Drama, Fantasy, Adventure",9.2,87074,215.7,Director 217,"Actor 217, Actor 553, Actor 774",France,Japanese,Studio 40,81
14,Movie 14,2022,163,"Adventure, Animation",6.5,130473,183.6,Director 174,"Actor 22, Actor 603, Actor 568",France,Hindi,Studio 29,30
15,Movie 15,1984,170,"Action, Thriller, Comedy",9.0,451196,267.7,Director 264,"Actor 244, Actor 286, Actor 686",Spain,Spanish,Studio 70,46
16,Movie 16,2016,153,"Thriller, Adventure",8.4,100329,80.0,Director 221,"Actor 363, Actor 434, Actor 421",Spain,Italian,Studio 94,36
17,Movie 17,2023,163,"Comedy, Action, Horror",8.0,420241,690.0,Director 128,"Actor 197, Actor 195, Actor 550",Spain,Spanish,Studio 55,53
18,Movie 18,1997,139,Comedy,6.4,452094,685.5,Director 51,"Actor 52, Actor 668, Actor 554",USA,English,Studio 97,60
19,Movie 19,1990,132,"Adventure, Thriller",8.8,473639,51.6,Director 195,"Actor 3, Actor 400, Actor 272",Spain,French,Studio 55,92
20,Movie 20,1989,104,"Thriller, Action",7.2,284766,53.5,Director 161,"Actor 59, Actor 52, Actor 599",Spain,Hindi,Studio 68,50
21,Movie 21,1983,145,Drama,4.4,36131,541.8,Director 121,"Actor 414, Actor 123, Actor 584",France,Hindi,Studio 77,35
22,Movie 22,2019,90,"Fantasy, Animation",5.7,137216,167.4,Director 161,"Actor 245, Actor 272, Actor 406",Canada,Japanese,Studio 83,68
23,Movie 23,2009,120,Action,6.5,295670,796.9,Director 38,"Actor 551, Actor 219, Actor 519",Germany,Spanish,Studio 45,38
24,Movie 24,1995,127,"Drama, Adventure",8.6,369357,245.5,Director 271,"Actor 9, Actor 684, Actor 568",Germany,Japanese,Studio 14,47
25,Movie 25,1996,94,Animation,4.9,148221,485.8,Director 176,"Actor 209, Actor 704, Actor 650",Germany,Hindi,Studio 63,62
